block_number,latency_ms,peak_bin,peak_magnitude
799,0.100604,20,4116.58
800,0.105611,20,4086.78
801,0.102717,20,4096.45
802,0.103113,20,4067.09
803,0.097186,20,4090.32
804,0.135031,20,4110.42
805,0.091604,20,4089.97
806,0.103249,20,4108.62
807,0.108813,20,4106.14
808,0.108337,20,4093.04
809,0.102424,20,4105.35
810,0.10546,20,4112.1
811,0.105986,20,4095.05
812,0.133665,20,4096.26
813,0.146056,20,4100.73
814,0.106605,20,4101.57
815,0.108122,20,4096.08
816,0.128518,20,4092.25
817,0.107835,20,4079.16
818,0.121905,20,4093.42
819,0.105711,20,4125.45
820,0.111974,20,4095.75
821,0.098915,20,4077.07
822,0.097816,20,4095.9
823,0.106167,20,4090.92
824,0.103584,20,4103.98
825,0.105591,20,4087.15
826,0.106635,20,4104.31
827,0.099683,20,4099.6
828,0.098477,20,4072.86
829,0.100383,20,4088.23
830,0.137897,20,4092.2
831,0.158426,20,4084.89
832,0.091223,20,4077.52
833,0.098596,20,4102.91
834,0.110434,20,4086.51
835,0.103417,20,4095.3
836,0.10644,20,4084.67
837,0.099253,20,4089.65
838,0.100067,20,4104.51
839,0.101848,20,4098.21
840,0.097308,20,4119.39
841,0.099835,20,4076.71
842,0.121432,20,4089.66
843,0.113223,20,4114.54
844,0.107175,20,4094.41
845,0.134314,20,4123.93
846,0.104386,20,4106.1
847,0.114203,20,4085.89
848,0.103104,20,4099.65
849,0.110164,20,4105.28
850,0.103953,20,4087.88
851,0.111879,20,4089.4
852,0.091927,20,4099.69
853,0.095745,20,4100.92
854,0.145315,20,4103.35
855,0.134332,20,4085.45
856,0.095006,20,4101.6
857,0.103895,20,4077.07
858,0.164606,20,4083.35
859,0.102269,20,4095.05
860,0.129065,20,4112.98
861,0.103564,20,4086.62
862,0.106711,20,4081.11
863,0.097272,20,4089.2
864,0.101936,20,4109.24
865,0.100915,20,4080.19
866,0.104908,20,4097.44
867,0.103185,20,4114.06
868,0.121971,20,4106.63
869,0.099949,20,4089.74
870,0.096767,20,4108.58
871,0.091762,20,4096.21
872,0.102126,20,4087.87
873,0.12794,20,4079.79
874,0.103367,20,4113.32
875,0.097104,20,4104.88
876,0.10139,20,4080.7
877,0.103327,20,4099.84
878,0.115832,20,4089.67
879,0.101071,20,4091.84
880,0.099783,20,4085.47
881,0.091793,20,4087.69
882,0.105498,20,4090.68
883,0.101868,20,4101.26
884,0.10095,20,4093.63
885,0.1594,20,4080.26
886,0.102199,20,4088.85
887,0.10316,20,4076.49
888,0.099715,20,4116.7
889,0.124046,20,4104.36
890,0.102204,20,4080.62
891,0.121379,20,4078.41
892,0.113243,20,4122.72
893,0.123589,20,4090.98
894,0.103773,20,4093.97
895,0.111086,20,4079.35
896,0.101335,20,4091.59
897,0.120082,20,4100.51
898,0.109843,20,4101.43
899,0.098041,20,4104.34
900,0.120956,20,4098
901,0.105648,20,4086.59
902,0.097798,20,4120.57
903,0.140575,20,4084.02
904,0.098968,20,4071.07
905,0.13296,20,4090.15
906,0.099674,20,4099.67
907,0.128972,20,4109.67
908,0.111544,20,4083.62
909,0.107931,20,4089.36
910,0.107002,20,4090.58
911,0.094311,20,4108.47
912,0.10468,20,4107.49
913,0.103231,20,4091.22
914,0.099994,20,4093.37
915,0.147189,20,4102.47
916,0.100702,20,4090.44
917,0.098881,20,4104.99
918,0.107685,20,4099.44
919,0.124277,20,4085.85
920,0.101575,20,4087.71
921,0.112024,20,4097.12
922,0.101945,20,4099.51
923,0.097183,20,4127.67
924,0.098125,20,4092.29
925,0.168793,20,4098.12
926,0.097036,20,4117.01
927,0.102049,20,4100.58
928,0.102555,20,4082.72
929,0.102903,20,4071.73
930,0.097463,20,4090.15
931,0.107205,20,4106.54
932,0.107742,20,4098.29
933,0.100763,20,4104.72
934,0.141933,20,4100.68
935,0.107757,20,4095.75
936,0.149021,20,4084.79
937,0.112219,20,4107.35
938,0.099762,20,4101.29
939,0.101184,20,4104.8
940,0.129775,20,4095.39
941,0.107788,20,4082.44
942,0.101389,20,4107.33
943,0.115598,20,4111.18
944,0.101395,20,4090.39
945,0.114923,20,4089.7
946,0.096701,20,4085.28
947,0.098526,20,4113.84
948,0.096698,20,4102.28
949,0.501117,20,4078.14
950,0.128069,20,4102.04
951,0.126224,20,4108.04
952,0.102207,20,4089.18
953,0.10658,20,4082.36
954,0.105686,20,4113.41
955,0.097925,20,4088.12
956,0.109812,20,4113.39
957,0.101385,20,4101.68
958,0.118164,20,4093.64
959,0.099189,20,4114.79
960,0.103217,20,4094.24
961,0.102533,20,4067.89
962,0.102274,20,4118
963,0.12336,20,4093.14
964,0.092723,20,4086.65
965,0.105356,20,4086.49
966,0.175193,20,4080.93
967,0.10922,20,4075.53
968,0.098487,20,4097.64
969,0.111393,20,4096.94
970,0.154438,20,4101.72
971,0.098574,20,4089.76
972,0.098293,20,4083.86
973,0.09663,20,4097.95
974,0.12597,20,4082.08
975,0.097368,20,4089.19
976,0.115026,20,4086.03
977,0.107228,20,4091.83
978,0.099135,20,4102.61
979,0.109042,20,4095.84
980,0.104143,20,4106.47
981,0.137794,20,4090.89
982,0.09629,20,4092.51
983,0.10775,20,4107.35
984,0.148618,20,4101.63
985,0.123921,20,4107.97
986,0.100665,20,4109.1
987,0.134193,20,4100.23
988,0.099447,20,4092
989,0.099082,20,4094.54
990,0.119131,20,4109.59
991,0.099371,20,4104.57
992,0.105143,20,4106.35
