freq_over_symbol_rate,alpha_0.0_db,alpha_0.2_db,alpha_0.35_db,alpha_0.5_db,alpha_1.0_db
0.71484375,-25.17148156233997,-34.663027709220884,-26.741550159656995,-17.101010184860648,-7.2256001422309035
0.71875,-24.903548361059364,-32.80643400300977,-28.058619054302465,-17.607532726016487,-7.344828980247788
0.72265625,-24.67702021244865,-31.35767499321885,-29.55094631288877,-18.133038735229153,-7.466345500955259
0.7265625,-24.488139054798946,-30.185851316578493,-31.27941792104719,-18.678973782527006,-7.590201575651684
0.73046875,-24.333812073746103,-29.215143815266337,-33.34452059383794,-19.246981996551533,-7.7164500876758595
0.734375,-24.211478725062445,-28.39770751314621,-35.93053273271337,-19.838945111898813,-7.845144971735964
0.73828125,-24.119010962692926,-27.701429505804608,-39.43622959973078,-20.457031664735105,-7.976341256307469
0.7421875,-24.054637414245402,-27.103729844314692,-45.03657668338823,-21.103759681306844,-8.110095109292223
0.74609375,-24.016885160506455,-26.588145565213665,-62.34412482302727,-21.7820775656546,-8.246463887146293
0.75,-24.004534693603038,-26.142321411220145,-48.31586817125555,-22.495469927518506,-8.385506187700846
0.75390625,-24.016584919342385,-25.75676488240785,-41.715084254017185,-23.24809819806822,-8.527281906919185
0.7578125,-24.052225956645398,-25.424041426208966,-38.16989461187948,-24.044990740150286,-8.671852299853699
0.76171875,-24.110818109763386,-25.13823548358261,-35.78187361575689,-24.89230496823876,-8.819280046089393
0.765625,-24.191875835529135,-24.894578685373446,-34.010069352807534,-25.7976969318836,-8.969629319986247
0.76953125,-24.295055855825304,-24.68918679352685,-32.623168902337426,-26.770856018912255,-9.122965866060621
0.7734375,-24.420148813219885,-24.51886951391017,-31.500701492957667,-27.824302102816162,-9.279357079877531
0.77734375,-24.567074061769787,-24.38099042681906,-30.571921641883083,-28.974616751911167,-9.438872094860224
0.78125,-24.735877344234925,-24.273362193813988,-29.791758849990366,-30.24442724735517,-9.60158187546231
0.78515625,-24.926731245635278,-24.194167121744364,-29.12975395702452,-31.665773820706878,-9.767559317190742
0.7890625,-25.139938442848376,-24.141896312225732,-28.564381878783806,-33.28620786194794,-9.936879354016055
0.79296875,-25.37593790128895,-24.11530268794728,-28.079891543266783,-35.18080347696904,-10.10961907375979
0.796875,-25.635314313338956,-24.11336457073328,-27.664432418886854,-37.478658811546076,-10.285857842108936
