trace_id,sample_index,amplitude
6,14,-0.4869939892828484
6,15,-0.5165688563787472
7,0,0.09576485652518335
7,1,-0.050297578373209154
7,2,-0.1911374149272711
7,3,-0.31354680790197187
7,4,-0.38813266503311383
7,5,-0.4373917449565825
7,6,-0.4869939892828484
7,7,-0.5165688563787472
7,8,-0.5263773209460798
7,9,-0.5165688563787472
7,10,-0.4869939892828484
7,11,-0.4373917449565825
7,12,-0.34766318034435284
7,13,-0.295339518787073
7,14,-0.2067760531342366
7,15,-0.10648838387630419
8,0,-0.5263773209460798
8,1,-0.5165688563787472
8,2,-0.4869939892828484
8,3,-0.4373917449565825
8,4,-0.34766318034435284
8,5,-0.295339518787073
8,6,-0.2067760531342366
8,7,-0.10648838387630419
8,8,6.938893903907228e-18
8,9,0.10648838387630417
8,10,0.20677605313423664
8,11,0.295339518787073
8,12,0.3881326650331138
8,13,0.4555990340714814
8,14,0.4713553510758829
8,15,0.4603780508756521
9,0,6.938893903907228e-18
9,1,0.10648838387630417
9,2,0.20677605313423664
9,3,0.295339518787073
9,4,0.3881326650331138
9,5,0.4555990340714814
9,6,0.4713553510758829
9,7,0.4603780508756521
9,8,0.43061246442089646
9,9,0.3917106528058849
9,10,0.35334595618167686
9,11,0.3236302262151881
9,12,0.328128934965942
9,13,0.341837515330087
9,14,0.3377073179747113
9,15,0.33551984730278983
10,0,0.43061246442089646
10,1,0.3917106528058849
10,2,0.35334595618167686
10,3,0.3236302262151881
10,4,0.328128934965942
10,5,0.341837515330087
10,6,0.3377073179747113
10,7,0.33551984730278983
10,8,0.33484760789571316
10,9,0.33551984730278983
10,10,0.3377073179747113
10,11,0.341837515330087
10,12,0.3685984196547029
10,13,0.341837515330087
10,14,0.3377073179747113
10,15,0.33551984730278983
11,0,0.33484760789571316
11,1,0.33551984730278983
11,2,0.3377073179747113
11,3,0.341837515330087
11,4,0.3685984196547029
11,5,0.341837515330087
11,6,0.3377073179747113
11,7,0.33551984730278983
11,8,0.33484760789571316
11,9,0.33551984730278983
11,10,0.3377073179747113
11,11,0.341837515330087
11,12,0.3685984196547029
11,13,0.341837515330087
11,14,0.3377073179747113
11,15,0.33551984730278983
12,0,0.33484760789571316
12,1,0.33551984730278983
12,2,0.3377073179747113
12,3,0.341837515330087
12,4,0.3685984196547029
12,5,0.341837515330087
12,6,0.3377073179747113
12,7,0.33551984730278983
12,8,0.33484760789571316
12,9,0.33551984730278983
12,10,0.3377073179747113
12,11,0.341837515330087
12,12,0.3685984196547029
12,13,0.341837515330087
12,14,0.3377073179747113
12,15,0.33551984730278983
13,0,0.33484760789571316
13,1,0.33551984730278983
13,2,0.3377073179747113
13,3,0.341837515330087
13,4,0.3685984196547029
13,5,0.341837515330087
13,6,0.3377073179747113
13,7,0.33551984730278983
13,8,0.33484760789571316
13,9,0.33551984730278983
13,10,0.3377073179747113
13,11,0.341837515330087
13,12,0.3685984196547029
13,13,0.341837515330087
13,14,0.3377073179747113
13,15,0.33551984730278983
14,0,0.33484760789571316
14,1,0.33551984730278983
14,2,0.3377073179747113
14,3,0.341837515330087
14,4,0.3685984196547029
14,5,0.341837515330087
14,6,0.3377073179747113
14,7,0.33551984730278983
14,8,0.33484760789571316
14,9,0.33551984730278983
14,10,0.3377073179747113
14,11,0.341837515330087
14,12,0.3685984196547029
14,13,0.341837515330087
14,14,0.3377073179747113
14,15,0.33551984730278983
15,0,0.33484760789571316
15,1,0.33551984730278983
15,2,0.3377073179747113
15,3,0.341837515330087
15,4,0.3685984196547029
15,5,0.341837515330087
15,6,0.3377073179747113
15,7,0.33551984730278983
15,8,0.33484760789571316
15,9,0.33551984730278983
15,10,0.3377073179747113
15,11,0.341837515330087
15,12,0.32812893496594203
15,13,0.3236302262151881
15,14,0.35334595618167686
15,15,0.3917106528058849
16,0,0.33484760789571316
16,1,0.33551984730278983
16,2,0.3377073179747113
16,3,0.341837515330087
16,4,0.32812893496594203
16,5,0.3236302262151881
16,6,0.35334595618167686
16,7,0.3917106528058849
16,8,0.43061246442089646
16,9,0.4603780508756521
16,10,0.4713553510758829
16,11,0.4555990340714814
16,12,0.42860214972187466
16,13,0.31354680790197187
16,14,0.19113741492727107
16,15,0.05029757837320917
17,0,0.43061246442089646
17,1,0.4603780508756521
17,2,0.4713553510758829
17,3,0.4555990340714814
17,4,0.42860214972187466
17,5,0.31354680790197187
17,6,0.19113741492727107
17,7,0.05029757837320917
